Date,Open,High,Low,Close,Adj Close,Volume,,,
2015/10/30,209.059998,209.440002,207.740005,207.929993,184.628357,131076900,,,0.085060044
2015/11/30,209.75,209.889999,208.559998,208.690002,185.303131,112822700,,,0.003654769
2015/12/31,205.130005,205.889999,203.869995,203.869995,182.100662,114877900,,,-0.017282325
2016/1/29,190.020004,193.880005,189.880005,193.720001,173.034439,210529300,,,-0.049786876
2016/2/29,195.110001,196.229996,193.330002,193.559998,172.891525,125918100,,,-0.000825928
2016/3/31,205.910004,206.410004,205.330002,205.520004,184.521286,94584100,,,0.06726623
2016/4/29,206.720001,207.130005,205.029999,206.330002,185.24852,142424100,,,0.003941193
2016/5/31,210.559998,210.690002,209.179993,209.839996,188.399857,109879400,,,0.017011402
2016/6/30,207.210007,209.539993,206.559998,209.479996,189.054749,165021900,,,0.003476075
2016/7/29,216.460007,217.539993,216.130005,217.119995,195.949768,79519400,,,0.036471017
2016/8/31,217.610001,217.75,216.470001,217.380005,196.184464,85269500,,,0.001197736
2016/9/30,215.649994,217.119995,215.360001,216.300003,196.195847,117202900,,,5.80219E-05
2016/10/31,212.929993,213.190002,212.360001,212.550003,192.794357,61272500,,,-0.017337217
2016/11/30,221.630005,221.820007,220.309998,220.380005,199.896652,113291800,,,0.036838708
2016/12/30,224.729996,224.830002,222.729996,223.529999,203.948898,108998300,,,0.020271705
2017/1/31,226.979996,227.600006,226.320007,227.529999,207.59848,75880800,,,0.01789459
2017/2/28,236.669998,236.949997,236.020004,236.470001,215.755341,96961900,,,0.039291526
2017/3/31,235.899994,236.509995,235.679993,235.740005,216.02507,73733100,,,0.001250161
2017/4/28,238.899994,238.929993,237.929993,238.080002,218.169342,63532800,,,0.009926033
2017/5/31,241.839996,241.880005,240.639999,241.440002,221.248337,91796000,,,0.014112867
2017/6/30,242.279999,242.710007,241.580002,241.800003,222.658752,86820700,,,0.006374805
2017/7/31,247.369995,247.479996,246.529999,246.770004,227.235352,65838700,,,0.020554323
2017/8/31,246.720001,247.770004,246.050003,247.490005,227.898361,103803900,,,0.002917719
2017/9/29,250.339996,251.320007,250.130005,251.229996,232.490372,85578000,,,0.020149381
2017/10/31,257.179993,257.440002,256.809998,257.149994,237.968826,60304800,,,0.023564219
2017/11/30,263.76001,266.049988,263.670013,265.01001,245.242569,127894400,,,0.030565949
2017/12/29,268.529999,268.549988,266.640015,266.859985,248.216766,96007400,,,0.012127572
2018/1/31,282.730011,283.299988,280.679993,281.899994,262.206055,108364800,,,0.056359162
2018/2/28,275.679993,276.190002,271.290009,271.649994,252.672165,121907800,,,-0.036360297
2018/3/29,261.119995,265.26001,259.839996,263.149994,245.746292,111601600,,,-0.02741051
2018/4/30,267.26001,267.890015,264.429993,264.51001,247.016388,82182300,,,0.005168322
2018/5/31,272.149994,272.48999,270.26001,270.940002,253.021133,93519900,,,0.024309096
2018/6/29,272.119995,273.660004,271.149994,271.279999,254.476196,97592500,,,0.005750757
2018/7/31,280.809998,282.019989,280.380005,281.329987,263.903687,68570500,,,0.037046652
2018/8/31,289.839996,290.809998,289.290009,290.309998,272.327484,66140800,,,0.031919967
2018/9/28,289.98999,291.279999,289.950012,290.720001,273.946533,70091400,,,0.005945228
2018/10/31,270.649994,273.230011,270.119995,270.630005,255.015656,128296300,,,-0.069104277
2018/11/30,273.809998,276.279999,273.450012,275.649994,259.746033,98204200,,,0.018549359
2018/12/31,249.559998,250.190002,247.470001,249.919998,236.875824,144299400,,,-0.088048348
2019/1/31,267.51001,270.470001,267.269989,269.929993,255.8414,104012100,,,0.080065478
2019/2/28,278.959991,279.450012,278.320007,278.679993,264.134674,69268300,,,0.032415684
2019/3/29,282.390015,282.839996,281.140015,282.480011,268.91571,82186800,,,0.018100751
2019/4/30,293.48999,294.339996,291.920013,294.019989,279.90155,81111700,,,0.040852355
2019/5/31,276.200012,277.119995,275.23999,275.269989,262.05188,86862800,,,-0.063771244
2019/6/28,292.579987,293.549988,292.01001,293,280.28717,59350900,,,0.069586564
2019/7/31,300.98999,301.200012,295.200012,297.429993,284.524963,104245200,,,0.015119468
2019/8/30,294.220001,294.23999,291.420013,292.450012,279.761017,62901200,,,-0.016743508
2019/9/30,295.970001,297.549988,295.920013,296.769989,285.20459,51662400,,,0.01945794
2019/10/31,304.130005,304.130005,301.730011,303.329987,291.508942,69053800,,,0.022104665
2019/11/29,314.859985,315.130005,314.059998,314.309998,302.061096,36592700,,,0.036198389
2019/12/31,320.529999,322.130005,320.149994,321.859985,310.837585,57077300,,,0.029055344
2020/1/31,327,327.170013,320.730011,321.730011,310.712036,113845600,,,-0.000403905
2020/2/28,288.700012,297.890015,285.540009,296.26001,286.114288,384975800,,,-0.079165739
2020/3/31,260.559998,263.329987,256.220001,257.75,250.386841,194881100,,,-0.124871244
2020/4/30,291.709991,293.320007,288.589996,290.480011,282.181854,122901700,,,0.126983562
2020/5/29,302.459991,304.959991,299.470001,304.320007,295.626465,119090800,,,0.0476452
2020/6/30,303.98999,310.200012,303.820007,308.359985,300.869202,113394800,,,0.017734329
2020/7/31,325.899994,326.630005,321.329987,326.519989,318.588043,84986800,,,0.058892173
2020/8/31,350.350006,351.299988,349.059998,349.309998,340.824493,66099200,,,0.069796876
2020/9/30,333.089996,338.290009,332.880005,334.890015,328.062805,104081100,,,-0.037443577
2020/10/30,328.279999,329.690002,322.600006,326.540009,319.882996,120287300,,,-0.024933668
2020/11/30,362.829987,363.119995,359.170013,362.059998,354.678864,83872700,,,0.10877686
2020/12/31,371.779999,374.660004,371.230011,373.880005,367.819122,78520700,,,0.037048325
2021/1/29,375.630005,376.670013,368.269989,370.070007,364.070923,126765100,,,-0.010190332
2021/2/26,384.350006,385.579987,378.230011,380.359985,374.194092,152701600,,,0.027805486
2021/3/31,395.339996,398,395.309998,396.329987,391.182251,112734200,,,0.045399324
2021/4/30,417.630005,418.540009,416.339996,417.299988,411.879852,85527000,,,0.052910379
2021/5/28,420.970001,421.25,419.790009,420.040009,414.58429,58520200,,,0.006566085
2021/6/30,427.209991,428.779999,427.179993,428.059998,423.882355,64827900,,,0.022427442
2021/7/30,437.910004,440.059998,437.769989,438.51001,434.230377,68951200,,,0.024412486
2021/8/31,452.130005,452.48999,450.920013,451.559998,447.153015,59300200,,,0.029759866
2021/9/30,436.019989,436.769989,428.779999,429.140015,426.313232,140506000,,,-0.046605485
2021/10/29,455.869995,459.559998,455.559998,459.25,456.224854,70162400,,,0.070163485
2021/11/30,462,464.029999,455.299988,455.559998,452.559204,148559600,,,-0.008034744
2021/12/31,475.640015,476.859985,474.670013,474.959991,473.489044,65237400,,,0.046247739
2022/1/31,441.23999,450.279999,439.809998,449.910004,448.516632,152251400,,,-0.052741267
